Epoch: 0, The losses are OrderedDict([('G_GAN', 1.0736593008041382), ('D_real', 0.2078886777162552), ('D_fake', 0.27786117792129517), ('G', 5.646014213562012), ('NCE', 4.572354793548584)])
Epoch: 1, The losses are OrderedDict([('G_GAN', 2.2531633377075195), ('D_real', 0.13191305100917816), ('D_fake', 0.2117394059896469), ('G', 6.387705326080322), ('NCE', 4.134541988372803)])
Epoch: 2, The losses are OrderedDict([('G_GAN', 0.4742750823497772), ('D_real', 0.5107950568199158), ('D_fake', 0.20880979299545288), ('G', 4.869584083557129), ('NCE', 4.395308971405029)])
Epoch: 3, The losses are OrderedDict([('G_GAN', 1.408997893333435), ('D_real', 0.3998619318008423), ('D_fake', 0.08650952577590942), ('G', 4.560391426086426), ('NCE', 3.1513936519622803)])
Epoch: 4, The losses are OrderedDict([('G_GAN', 1.4735264778137207), ('D_real', 0.42272213101387024), ('D_fake', 0.0813291147351265), ('G', 5.063503265380859), ('NCE', 3.5899765491485596)])
Epoch: 5, The losses are OrderedDict([('G_GAN', 2.022505044937134), ('D_real', 0.22166024148464203), ('D_fake', 0.0898827314376831), ('G', 5.8778533935546875), ('NCE', 3.855348587036133)])
Epoch: 6, The losses are OrderedDict([('G_GAN', 1.178675651550293), ('D_real', 0.3517739176750183), ('D_fake', 0.18223699927330017), ('G', 5.15949821472168), ('NCE', 3.9808223247528076)])
Epoch: 7, The losses are OrderedDict([('G_GAN', 1.7449570894241333), ('D_real', 0.19335757195949554), ('D_fake', 0.20417837798595428), ('G', 5.457254409790039), ('NCE', 3.7122974395751953)])
Epoch: 8, The losses are OrderedDict([('G_GAN', 1.462375521659851), ('D_real', 0.3653472065925598), ('D_fake', 0.17736075818538666), ('G', 4.5829758644104), ('NCE', 3.120600461959839)])
Epoch: 9, The losses are OrderedDict([('G_GAN', 2.2364563941955566), ('D_real', 0.16395863890647888), ('D_fake', 0.11810654401779175), ('G', 5.650143623352051), ('NCE', 3.413687229156494)])
Epoch: 10, The losses are OrderedDict([('G_GAN', 1.6649436950683594), ('D_real', 0.2036658227443695), ('D_fake', 0.08676518499851227), ('G', 5.140637397766113), ('NCE', 3.475693941116333)])
Epoch: 11, The losses are OrderedDict([('G_GAN', 1.655624270439148), ('D_real', 0.17008614540100098), ('D_fake', 0.17630766332149506), ('G', 4.884915828704834), ('NCE', 3.2292916774749756)])
Epoch: 12, The losses are OrderedDict([('G_GAN', 1.6886454820632935), ('D_real', 0.1740940511226654), ('D_fake', 0.29720330238342285), ('G', 5.346352577209473), ('NCE', 3.6577069759368896)])
Epoch: 13, The losses are OrderedDict([('G_GAN', 1.5269436836242676), ('D_real', 0.10495653003454208), ('D_fake', 0.31518667936325073), ('G', 4.902853488922119), ('NCE', 3.3759098052978516)])
