Epoch: 0, The losses are OrderedDict([('G_GAN', 1.712669014930725), ('D_real', 0.39657658338546753), ('D_fake', 0.11781053245067596), ('G', 6.608015537261963), ('NCE', 4.895346641540527)])
Epoch: 1, The losses are OrderedDict([('G_GAN', 2.1242241859436035), ('D_real', 0.27770933508872986), ('D_fake', 0.10404505580663681), ('G', 6.4880218505859375), ('NCE', 4.363797664642334)])
Epoch: 2, The losses are OrderedDict([('G_GAN', 1.5990437269210815), ('D_real', 0.5373000502586365), ('D_fake', 0.17046688497066498), ('G', 5.9427056312561035), ('NCE', 4.343661785125732)])
Epoch: 3, The losses are OrderedDict([('G_GAN', 1.45548677444458), ('D_real', 0.19237791001796722), ('D_fake', 0.2102249562740326), ('G', 6.835831642150879), ('NCE', 5.380344867706299)])
Epoch: 4, The losses are OrderedDict([('G_GAN', 1.6474283933639526), ('D_real', 0.1576184183359146), ('D_fake', 0.19140607118606567), ('G', 6.1614179611206055), ('NCE', 4.513989448547363)])
Epoch: 5, The losses are OrderedDict([('G_GAN', 2.997553825378418), ('D_real', 0.07384881377220154), ('D_fake', 0.21028375625610352), ('G', 7.0015692710876465), ('NCE', 4.0040154457092285)])
Epoch: 6, The losses are OrderedDict([('G_GAN', 2.1618669033050537), ('D_real', 0.20731550455093384), ('D_fake', 0.09442289918661118), ('G', 6.512482643127441), ('NCE', 4.350615978240967)])
Epoch: 7, The losses are OrderedDict([('G_GAN', 1.097394347190857), ('D_real', 0.18368716537952423), ('D_fake', 0.31234413385391235), ('G', 6.39147424697876), ('NCE', 5.294079780578613)])
Epoch: 8, The losses are OrderedDict([('G_GAN', 1.6265124082565308), ('D_real', 0.3723011612892151), ('D_fake', 0.07842578738927841), ('G', 5.660370826721191), ('NCE', 4.033858299255371)])
Epoch: 9, The losses are OrderedDict([('G_GAN', 1.8267011642456055), ('D_real', 0.5492035150527954), ('D_fake', 0.14454610645771027), ('G', 6.083136558532715), ('NCE', 4.256435394287109)])
Epoch: 10, The losses are OrderedDict([('G_GAN', 4.189737319946289), ('D_real', 0.03213632479310036), ('D_fake', 0.2420738786458969), ('G', 9.432392120361328), ('NCE', 5.242654323577881)])
