Epoch: 0, The losses are OrderedDict([('G_GAN', 2.4467854499816895), ('D_real', 0.1538291871547699), ('D_fake', 0.2342093288898468), ('G', 6.884327411651611), ('NCE', 4.437541961669922)])
Epoch: 1, The losses are OrderedDict([('G_GAN', 1.9969584941864014), ('D_real', 0.1707509458065033), ('D_fake', 0.16916728019714355), ('G', 5.903214454650879), ('NCE', 3.9062557220458984)])
Epoch: 2, The losses are OrderedDict([('G_GAN', 1.36752450466156), ('D_real', 0.2551208436489105), ('D_fake', 0.24468497931957245), ('G', 5.00877571105957), ('NCE', 3.6412510871887207)])
Epoch: 3, The losses are OrderedDict([('G_GAN', 1.865307092666626), ('D_real', 0.21968860924243927), ('D_fake', 0.30118119716644287), ('G', 6.081785202026367), ('NCE', 4.216477870941162)])
Epoch: 4, The losses are OrderedDict([('G_GAN', 2.193089485168457), ('D_real', 0.18870294094085693), ('D_fake', 0.19049236178398132), ('G', 7.539182186126709), ('NCE', 5.346092700958252)])
Epoch: 5, The losses are OrderedDict([('G_GAN', 1.239861249923706), ('D_real', 0.678259015083313), ('D_fake', 0.22130897641181946), ('G', 5.059813976287842), ('NCE', 3.8199527263641357)])
Epoch: 6, The losses are OrderedDict([('G_GAN', 1.0811575651168823), ('D_real', 0.4056609570980072), ('D_fake', 0.21680237352848053), ('G', 5.0988545417785645), ('NCE', 4.017696857452393)])
Epoch: 7, The losses are OrderedDict([('G_GAN', 1.4598859548568726), ('D_real', 0.21627578139305115), ('D_fake', 0.24062824249267578), ('G', 5.396985054016113), ('NCE', 3.9370992183685303)])
Epoch: 8, The losses are OrderedDict([('G_GAN', 1.4173747301101685), ('D_real', 0.4154442250728607), ('D_fake', 0.17357201874256134), ('G', 5.16428279876709), ('NCE', 3.746908187866211)])
Epoch: 9, The losses are OrderedDict([('G_GAN', 2.2085797786712646), ('D_real', 0.14192518591880798), ('D_fake', 0.30542874336242676), ('G', 5.641497611999512), ('NCE', 3.432917833328247)])
Epoch: 10, The losses are OrderedDict([('G_GAN', 1.6841779947280884), ('D_real', 0.31491246819496155), ('D_fake', 0.20270481705665588), ('G', 5.318552494049072), ('NCE', 3.6343746185302734)])
Epoch: 11, The losses are OrderedDict([('G_GAN', 2.6134696006774902), ('D_real', 0.18543373048305511), ('D_fake', 0.14550189673900604), ('G', 6.885256290435791), ('NCE', 4.271786689758301)])
